doc_index	title	categories
4682	Avtomobilska pravljica	delaa, slikanice, zbirka_slovenskih_mladinskih_leposlovnih_besedil
4780	Moja dolina	mladinska_knjizevnost, slovenske_pravljice
4781	Eva Škofič Maurer	avtorice, slovenski_avtorji
4782	Pod turškim jarmom	prevodi, turske_povesti
4792	Ivan Tavčar	besedilne_variante, v_javni_lasti
4794	Števan Küzmič	slovenski_avtorji, slovenski_duhovniki
4823	Znojilčevega Marka božja pot	knjige, v_javni_lasti
4827	Naši dijaki	drame, zbirka_slovenskih_mladinskih_leposlovnih_besedil
4840	Ljubljanski zvon	delac, v_javni_lasti
4850	Ljubljanski zvon	besedilne_variante, zgodovinski_romani
4898	Anton Martin Slomšek	blazeni, slovenski_avtorji, slovenski_duhovniki
4900	A) Basni in prilike (A. M. Slomšek)	prilike_in_povesti, slomsekove_basni
4955	Krajnska čbelica, 2	dela_v_bohoricici, pesniske_zbirke
5114	Ljubljanski zvon	besedilne_variante, zgodovinski_romani
5131	Burke in porednosti	humor, sale
5136	Plezalski občutki	planinstvo, podlistki
5137	Šaljivi in resni spomini na politične čase	humor, politika
5158	Tihotapec	dela_leta_1855, rokopisi, roparska_povest, vaje
5188	Valentin Stanič	slovenski_avtorji, slovenski_duhovniki
