dora_gruden,author,Dora Gruden
dr_a_m,author,Dr. A.M.
dr_bogoslav_franta,author,Dr. Bogoslav Franta
dr_fran_tominsek,author,Dr. Fran Tominšek
dr_i_l,author,Dr. I. L.
dr_ivan_lah,author,Dr. Ivan Lah
dr_jos_tominsek,author,Dr. Jos. Tominšek
dr_meinert,author,Dr. Meinert
dragica_gracner,author,Dragica Gračner
drago_bajc,author,Drago Bajc
drago_sterle,author,Drago Sterle
dragotin_dezman,author,Dragotin Dežman
dragotin_jesenko,author,Dragotin Jesenko
dragotin_loncar,author,Dragotin Lončar
e_curtius,author,E. Curtius
edgar_allan_poe,author,Edgar Allan Poe
edgar_wallace,author,Edgar Wallace
edmond_loutil,author,Edmond Loutil
edmondo_de_amicis,author,Edmondo De Amicis
edmund_cibej,author,Edmund Čibej
edvard_jelinek,author,Edvard Jelínek
edvard_kocbek,author,Edvard Kocbek
edvard_zajec,author,Edvard Zajec
edward_bulwer_lytton,author,Edward Bulwer-Lytton
egon_mosche,author,Egon Mosche
ela_peroci,author,Ela Peroci
elizabeta_kremzar,author,Elizabeta Kremžar
eliska_krasnohorska,author,Eliška Krásnohorská
emanuel_josip_kovacic,author,Emanuel Josip Kovačič
emanuel_podvinski,author,Emanuel Podvinski
emil_adamic,author,Emil Adamič
emil_filipcic,author,Emil Filipčič
emil_golob,author,Emil Golob
emil_korytko,author,Emil Korytko
emil_orozen,author,Emil Orožen
emil_vodeb,author,Emil Vodeb
emma_orczy,author,Emma Orczy
engelbert_gangl,author,Engelbert Gangl
engelbert_polak,author,Engelbert Polak
erich_kastner,author,Erich Kästner
erna_starovasnik,author,Erna Starovasnik
ernest_adamic,author,Ernest Adamič
ernest_tiran,author,Ernest Tiran
ernest_tomec,author,Ernest Tomec
ernestina_jelovsek,author,Ernestina Jelovšek
ernst_glaeser,author,Ernst Glaeser
ernst_raupach,author,Ernst Raupach
ernst_toller,author,Ernst Toller
ervin_fritz,author,Ervin Fritz
ervin_lah,author,Ervin Lah
etbin_henrik_costa,author,Etbin Henrik Costa
etbin_kristan,author,Etbin Kristan
eugene_scribe,author,Eugene Scribe
eugene_varlin,author,Eugène Varlin
eva_kurnik,author,Eva Kurnik
eva_skofic_maurer,author,Eva Škofič Maurer
evelina_umek,author,Evelina Umek
evgen_lah,author,Evgen Lah
f_furlani,author,F. Furlani
f_k,author,F. K.
f_mrak,author,F. Mrak
f_s_segula,author,F. S. Šegula
fany_hausmann,author,Fany Hausmann
feliks_anton_dev,author,Feliks Anton Dev
feliks_stegnar,author,Feliks Stegnar
feodor_jaromilov,author,Feodor Jaromilov
